,asian,black,file,hispanic,white
race_census_ln,0.006182139331913346,0.036936983739415036,cities,0.07558834225154554,0.7903267702218297
race_pred_census_ln,0.006805548340173516,0.0325211699309055,cities,0.08192633383552392,0.878746947893397
race_pred_fl_reg_ln,0.005610681074341524,0.04831419814016313,cities,0.0765234557639358,0.8695516650215596
race_pred_fl_reg_name,0.006234090082601694,0.09132941971011481,cities,0.07813392903527457,0.8241467089199439
race_census_ln,0.009307019896699473,0.04347631721927635,state,0.07705414680779361,0.7443844952923295
race_pred_census_ln,0.009972421097516523,0.03198052282996678,state,0.08754926032145584,0.8704977957510609
race_pred_fl_reg_ln,0.007816314880915536,0.0580515264681811,state,0.08261291187818516,0.8515192467727182
race_pred_fl_reg_name,0.00981939601515808,0.12201257212811466,state,0.08447844237659989,0.7804038486667905
race_census_ln,0.05517998497717686,0.026270680456847904,university,0.08383890911192003,0.6781841644036132
race_pred_census_ln,0.05425550355347547,0.02307351553321392,university,0.10263669806051501,0.8200342828527956
race_pred_fl_reg_ln,0.04741819302401726,0.041100903295391074,university,0.09766761040812003,0.8138132932724716
race_pred_fl_reg_name,0.06045723310413898,0.07060726873519385,university,0.10456270102655958,0.7643727971341076
race_census_ln,0.008377712084182667,0.035752019722308195,counties,0.11150894867717527,0.7336314447017641
race_pred_census_ln,0.00868720718028623,0.025034417989135655,counties,0.12168226593099327,0.8445961088995848
race_pred_fl_reg_ln,0.007043681497529376,0.04706193103595479,counties,0.11523356207511126,0.8306608253914046
race_pred_fl_reg_name,0.00832701892188984,0.09282184821933598,counties,0.11873139027331618,0.7800663813619919
race_census_ln,0.007985534319229461,0.0383325586235172,k12,0.11935931290508704,0.7107025849553431
race_pred_census_ln,0.008517654037442784,0.02484263836670401,k12,0.1342287566468233,0.83241095094903
race_pred_fl_reg_ln,0.006582333376118916,0.04980864875238488,k12,0.12730870794603036,0.8163003099254659
race_pred_fl_reg_name,0.00766651172470344,0.10110274646053155,k12,0.13125038164324052,0.7597498164996991
